human_gene	disease	onset
A2M	Alzheimer	Late
ABCA1	Alzheimer	Risk
ABCA2	Alzheimer	Early
ABCA7	Alzheimer	Risk
ABCG1	Alzheimer	Risk
ABCG4	Alzheimer	Risk
ACE	Alzheimer	Risk
ADAM10	Alzheimer	Early
ADAM9	Alzheimer	Risk
ADRB1	Alzheimer	Risk
AGT	Alzheimer	Risk
APBA1	Alzheimer	Risk
APBB1	Alzheimer	Early
APBB2	Alzheimer	Risk
APOA1	Alzheimer	Risk
APOA4	Alzheimer	Risk
APOC1	Alzheimer	Early
APOC2	Alzheimer	Risk
APOD	Alzheimer	Risk
APOE	Alzheimer	Late
APP	Alzheimer	Early
BCHE	Alzheimer	Late
BLMH	Alzheimer	Risk
C1R	Alzheimer	Risk
CALHM1	Alzheimer	Risk
CAST	Alzheimer	Risk
CBS	Alzheimer	Risk
CCL2	Alzheimer	Risk
CCR5	Alzheimer	Risk
CDK5R1	Alzheimer	Risk
CETP	Alzheimer	Risk
CHAT	Alzheimer	Risk
CHRNA3	Alzheimer	Risk
CHRNA7	Alzheimer	Risk
CLU	Alzheimer	Risk
CRP	Alzheimer	Risk
CST3	Alzheimer	Risk
CTNNA3	Alzheimer	Late
CTSD	Alzheimer	Risk
CYP46A1	Alzheimer	Risk
DLST	Alzheimer	Risk
ESR1	Alzheimer	Risk
ESR2	Alzheimer	Risk
FAS	Alzheimer	Risk
FGF1	Alzheimer	Risk
FLOT1	Alzheimer	Risk
GAB2	Alzheimer	Late
GNB3	Alzheimer	Risk
GSK3B	Alzheimer	Risk
HFE	Alzheimer	Risk
HSPG2	Alzheimer	Risk
HTR6	Alzheimer	Late
ICAM1	Alzheimer	Risk
IGF1	Alzheimer	Risk
IL10	Alzheimer	Risk
IL18	Alzheimer	Risk
IL1A	Alzheimer	Early
IL1B	Alzheimer	Early
IL6	Alzheimer	Risk
IL8	Alzheimer	Risk
INS	Alzheimer	Risk
IREB2	Alzheimer	Risk
KLC1	Alzheimer	Risk
LDLR	Alzheimer	Risk
LHCGR	Alzheimer	Risk
LPL	Alzheimer	Risk
LRP1	Alzheimer	Late
LRRTM3	Alzheimer	Late
MAPK8IP1	Alzheimer	Risk
MME	Alzheimer	Risk
MMP3	Alzheimer	Risk
MPO	Alzheimer	Risk
MTHFR	Alzheimer	Late
MTR	Alzheimer	Risk
NAT2	Alzheimer	Risk
NOS3	Alzheimer	Risk
PCK1	Alzheimer	Risk
PICALM	Alzheimer	Risk
PIN1	Alzheimer	Risk
PLAU	Alzheimer	Risk
PON1	Alzheimer	Risk
PON2	Alzheimer	Risk
PON3	Alzheimer	Risk
PRDX6	Alzheimer	Risk
PSEN1	Alzheimer	Early
PSEN2	Alzheimer	Early
PSENEN	Alzheimer	Late
PTGS2	Alzheimer	Risk
SEL1L	Alzheimer	Risk
SERPINA3	Alzheimer	Risk
SLC6A4	Alzheimer	Risk
SOAT1	Alzheimer	Risk
SOD2	Alzheimer	Risk
SORL1	Alzheimer	Risk
SOS2	Alzheimer	Risk
TF	Alzheimer	Late
TFCP2	Alzheimer	Risk
TGFB1	Alzheimer	Risk
TLR4	Alzheimer	Risk
TNF	Alzheimer	Risk
TREM2	Alzheimer	Early
TTR	Alzheimer	Risk
UBQLN1	Alzheimer	Risk
UCHL1	Alzheimer	Risk
VLDLR	Alzheimer	Risk

